Date,Open,High,Low,Close,Volume,Change
2025-11-03,106900,111500,106500,111100,30110066,
2025-11-04,111800,112400,104900,104900,30450281,-5.580558055805584
2025-11-05,101000,102000,96700,100600,44843020,-4.099142040038128
2025-11-06,103700,103800,98800,99200,28655689,-1.391650099403574
2025-11-07,96400,100300,96300,97900,22908083,-1.310483870967738
2025-11-10,98600,101000,97900,100600,23842327,2.7579162410623193
2025-11-11,103700,106000,102000,103500,27742542,2.882703777335993
2025-11-12,103000,103900,101600,103100,19413497,-0.38647342995169476
2025-11-13,102500,104200,102300,102800,20838741,-0.29097963142580285
2025-11-14,99000,99600,97200,97200,21806342,-5.447470817120625
2025-11-17,99800,101000,99500,100600,17192584,3.4979423868312765
2025-11-18,99800,100900,97500,97800,18684068,-2.7833001988071593
2025-11-19,97100,97500,94600,96500,18993346,-1.329243353783227
2025-11-20,100900,102900,99500,100600,25360435,4.248704663212433
2025-11-21,95600,96800,94500,94800,23103574,-5.765407554671964
2025-11-24,97800,99000,96200,96700,28497744,2.0042194092827037
