movie_id,title,original_title,release_date,popularity,vote_average,vote_count
83533,아바타: 불과 재,Avatar: Fire and Ash,2025-12-17,543.441,7.4,850
1511417,బాహుబలి: ది ఎపిక్,బాహుబలి: ది ఎపిక్,2025-10-29,431.713,7.6,10
1084242,주토피아 2,Zootopia 2,2025-11-26,391.907,7.6,813
1228246,프레디의 피자가게 2,Five Nights at Freddy's 2,2025-12-03,356.438,6.9,422
982843,대홍수,대홍수,2025-09-18,312.757,6.1,334
1512623,Risqué,Risqué,2025-08-01,270.661,4.3,5
1439112,머즐: 시티 오브 울브스,Muzzle: City of Wolves,2025-11-13,252.785,6.9,59
425274,나우 유 씨 미 3,Now You See Me: Now You Don't,2025-11-12,240.074,6.6,697
1247002,파과,파과,2025-04-30,253.788,6.6,43
1131759,전지적 독자 시점,전지적 독자 시점,2025-07-23,251.633,6.7,38
755898,우주전쟁,War of the Worlds,2025-07-29,198.723,4.2,801
1223601,시수: 복수의 길,Sisu 2,2025-10-21,170.238,7.5,349
1137179,야당,야당,2025-04-16,168.165,7.0,26
1336189,딜리버리 런,Delivery Run,2025-09-10,140.912,5.5,22
1195518,언홀리 트리니티,The Unholy Trinity,2025-06-13,135.502,6.2,109
1491902,ปัง,ปัง,2025-07-11,141.802,6.2,30
1419406,포풍추영,捕风追影,2025-08-16,130.146,6.6,182
1013446,리플렉션,Reflet dans un diamant mort,2025-06-25,113.870,6.0,51
1196067,Worldbreaker,Worldbreaker,2025-10-30,120.199,6.1,36
1317288,마티 슈프림,Marty Supreme,2025-12-19,83.661,8.1,37
76600,아바타: 물의 길,Avatar: The Way of Water,2022-12-14,131.833,7.6,13327
533533,트론: 아레스,TRON: Ares,2025-10-08,120.912,6.6,844
798645,더 러닝 맨,The Running Man,2025-11-11,116.003,6.8,812
1242898,프레데터: 죽음의 땅,Predator: Badlands,2025-11-05,121.875,7.3,709
19995,아바타,Avatar,2009-12-16,124.164,7.6,33080
812583,나이브스 아웃: 웨이크 업 데드 맨,Wake Up Dead Man: A Knives Out Mystery,2025-11-26,120.073,7.2,1313
1206083,Conjuring Tapes,Conjuring Tapes,2025-04-10,114.885,4.2,11
1103437,Please Don't Feed the Children,Please Don't Feed the Children,2025-07-03,108.617,6.4,40
1234731,아나콘다,Anaconda,2025-12-24,113.471,6.7,61
1387382,Hunting Season,Hunting Season,2025-12-05,95.969,7.2,80
1259102,영원,Eternity,2025-11-26,103.808,7.0,182
1311031,극장판 귀멸의 칼날: 무한성편,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,2025-07-18,120.455,7.6,617
1368166,하우스메이드,The Housemaid,2025-12-18,100.359,7.6,93
1214931,뉘른베르크,Nuremberg,2025-11-06,89.119,7.3,231
1589891,용자들의 시간,La hora de los valientes,2025-12-18,87.501,7.9,50
1054867,원 배틀 애프터 어나더,One Battle After Another,2025-09-23,85.836,7.5,2107
1015539,Santastein,Santastein,2024-11-25,86.274,4.7,7
1218925,극장판 체인소 맨:  레제편,劇場版 チェンソーマン レゼ篇,2025-09-19,85.841,8.3,523
1062722,프랑켄슈타인,Frankenstein,2025-10-17,78.111,7.7,2430
1180831,트롤의 습격 2,Troll 2,2025-11-30,76.363,6.6,317
1033462,749局,749局,2024-10-01,74.887,6.2,67
1083637,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,2025-10-01,70.255,7.0,54
269149,주토피아,Zootopia,2016-02-11,76.233,7.8,17386
772,나 홀로 집에 2: 뉴욕을 헤매다,Home Alone 2: Lost in New York,1992-11-15,69.252,6.8,10312
7451,트리플 엑스,xXx,2002-08-09,71.677,6.0,4707
1438030,Slaughterhouse 2,Slaughterhouse 2,2024-10-23,60.787,6.3,7
1354700,강령: 귀신놀이,강령: 귀신놀이,2025-08-06,73.429,7.1,19
1246049,드라큘라: 어 러브 테일,Dracula,2025-07-30,65.085,7.1,673
8871,그린치,How the Grinch Stole Christmas,2000-11-17,63.741,6.8,8065
1149167,캐시 아웃 2,High Rollers,2025-03-14,60.976,6.6,94
991494,스폰지밥 무비: 네모바지를 찾아서,The SpongeBob Movie: Search for SquarePants,2025-12-16,66.806,6.8,26
575265,미션 임파서블: 파이널 레코닝,Mission: Impossible - The Final Reckoning,2025-05-17,63.844,7.2,2286
980477,나타지마동요해,哪吒之魔童闹海,2025-01-29,63.829,8.1,529
803796,케이팝 데몬 헌터스,KPop Demon Hunters,2025-06-20,69.572,8.2,2105
756397,Hitpig!,Hitpig!,2024-11-01,68.588,6.6,28
1291608,धुरंधर,धुरंधर,2025-12-05,62.880,6.3,122
1539104,극장판 주술회전: 시부야사변 X 사멸회유,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,2025-11-07,64.194,5.3,70
1194963,노이즈,노이즈,2025-06-25,62.208,6.2,33
10437,머펫의 크리스마스 캐롤,The Muppet Christmas Carol,1992-12-11,57.625,7.4,1119
1061474,슈퍼맨,Superman,2025-07-09,58.240,7.4,4052
